id_produto,nome_produto,categoria,preco,fornecedor,peso_kg,estoque_disponivel,avaliacao_interna,ativo,data_cadastro_produto
PROD-0055,Estabilizador 1000VA,Eletronicos,349.00,Shenzhen Connect Brasil,4.86,85,null,SIM,2019-08-28
PROD-0056,Nobreak 1000VA,Eletronicos,518.00,Shenzhen Connect Brasil,0.47,275,null,NAO,2025-07-02
PROD-0057,Switch HDMI 4K,Eletronicos,200.00,Alpha Tech Importados,3.42,307,null,SIM,2022-08-30
PROD-0058,Suporte para Monitor,Eletronicos,124.00,Shenzhen Connect Brasil,4.99,176,null,sim,2023-08-16
PROD-0059,Mesa Digitalizadora,eletronicos,479.00,Shenzhen Connect Brasil,1.42,34,null,1,2019-01-27
PROD-0060,Placa de Captura HDMI,Eletronicos,450.00,TechBrasil Distribuidora,2.13,55,null,S ,2019-02-12
PROD-0061,Leitor Código de Barras,Eletronicos,344.00,TechBrasil Distribuidora,3.16,128,null,sim,2018-10-09
PROD-0062,Impressora Fotográfica,Eletronicos,784.00,TechBrasil Distribuidora,3.18,264,null,N,2023-11-16
PROD-0063,Caixinha de Som Mini,Eletronicos,0,Global Electronics Ltda,4.06,4,null,S,2024-10-16
PROD-0064,Camiseta Masculina Algodão,Vestuario,55.00,TextilBrasil Distribuidora,0.8,29,null,1,2018-06-30
PROD-0065,Camiseta Feminina Algodão,null,65.00,Fashion Import Ltda,null,429,null,S ,2025-07-14
PROD-0066,Camiseta Polo Masculina,Vestuario,102.00,TextilBrasil Distribuidora,0.45,66,null,nao,2022-08-07
PROD-0067,Camiseta Polo Feminina,Vestuario,147.00,TextilBrasil Distribuidora,1.89,197,null,1,2024-06-25
PROD-0068,Calça Jeans Masculina,Vestuario,205.00,Confecções do Sul,1.49,258,null,Sim,2018-10-14
PROD-0069,Calça Jeans Feminina,Vestuario,181.00,Moda Brasil Atacado,1.65,null,null,1,2025-01-04
PROD-0070,Calça Social Masculina,Vestuario,164.00,Moda Brasil Atacado,1.66,78,null,sim,2020-10-22
PROD-0071,Vestido Floral,Vestuario,234.00,Confecções do Sul,0.93,219,null,1,2022-06-29
PROD-0072,Vestido Longo,Vestuario,228.00,TextilBrasil Distribuidora,0.92,22,null,sim,2025-04-17
PROD-0073,Moletom com Capuz,vestu,0,Confecções do Sul,null,458,null,SIM,2022-07-01
PROD-0074,Jaqueta Corta Vento,Vestuario, 394.00,Fashion Import Ltda,0.4,188,null,S,2022-04-13
PROD-0075,Jaqueta de Couro,Vestuarios,null,Fashion Import Ltda,1.77,17,null,S,2019-11-27
PROD-0076,Jaqueta Impermeável,Vestuario,367.00,Moda Brasil Atacado,0.47,138,null,1,2022-11-03
PROD-0077,Jaqueta Jeans,vestuario,114.00,Moda Brasil Atacado,1.7,187,null,N,2025-06-27
PROD-0078,Tênis Casual Masculino,Vestuario,452.00,Confecções do Sul,1.14,302,null,S,2021-09-17
PROD-0079,Tênis Casual Feminino,Vestuario, 495.00,Confecções do Sul,1.87,null,null,SIM,2022-01-28
PROD-0080,Tênis Esportivo,Vestuario,440.00,Moda Brasil Atacado,1.3,459,null,S ,2022-12-19
PROD-0081,Tênis de Corrida,VESTUARIO,157.00,Moda Brasil Atacado,0.29,150,null,sim,2023-07-17
PROD-0082,Meia Esportiva Kit com 3,Vestuario,null,TextilBrasil Distribuidora,1.06,497,null,Sim,2018-04-09
PROD-0083,Cueca Kit com 3,Vestuario,115.00,Moda Brasil Atacado,1.86,386,null,sim,2025-06-02
PROD-0084,Sutiã Conforto,Vestuario,117.00,TextilBrasil Distribuidora,0.93,472,null,sim,2019-08-04
PROD-0085,Shorts Academia,Vestuario, 42.00,Moda Brasil Atacado,1.14,189,null,sim,2023-09-01
PROD-0086,Legging Feminina,Vestuario,73.00,Confecções do Sul,1.73,3,null,Sim,2021-09-21
PROD-0087,Bermuda Masculina,null, 75.00,Fashion Import Ltda,1.68,207,null,Sim,2021-05-05
PROD-0088,Casaco de Inverno,Vestuario,447.00,Moda Brasil Atacado,1.04,78,null,SIM,2024-09-19
PROD-0089,Blusa de Frio,Vestuario,235.00,Moda Brasil Atacado,1.76,4,null,sim,2019-12-18
PROD-0090,Pijama Adulto,Vestuario,174.00,TextilBrasil Distribuidora,0.25,380,null, N,2023-07-31
PROD-0091,Mochila Escolar,Vestuario,323.00,Confecções do Sul,1.72,457,null,SIM,2025-03-26
PROD-0092,Mochila Executiva,Vestuario,386.00,Fashion Import Ltda,1.75,346,null,N,2020-08-27
PROD-0093,Bolsa Feminina,Vestuario,199.00,Moda Brasil Atacado,0.54,21,null,SIM,2022-12-13
PROD-0094,Carteira Masculina,vest, 168.00,Fashion Import Ltda,1.29,170,null,sim,2019-12-02
PROD-0095,Cinto de Couro,Vestuario,51.00,Moda Brasil Atacado,1.83,224,null,S ,2024-10-08
PROD-0096,Boné Aba Curva,Vestuario,57.00,Moda Brasil Atacado,1.09,139,null,1,2019-08-08
PROD-0097,Chapéu de Palha,Vestuario,75.00,Confecções do Sul,1.05,null,null,S,2024-12-14
PROD-0098,Luvas de Inverno,Vestuario,98.00,Confecções do Sul,1.46,88,null,1,2023-08-19
PROD-0099,Cachecol de Lã,Vestuario,79.00,Moda Brasil Atacado,1.85,399,null,0,2024-10-14
PROD-0100,Chinelo Masculino,null,"R$ 59,00",Confecções do Sul,0.54,267,null,NAO,2023-08-17
PROD-0101,Chinelo Feminino,VESTUARIO,70.00,TextilBrasil Distribuidora,0.92,166,null,nao,2024-12-30
PROD-0102,Sandália Feminina,Vestuario,249.00,Confecções do Sul,0.54,14,null,1,2022-11-09
PROD-0103,Sapato Social Masculino,VESTUARIO,306.00,Moda Brasil Atacado,1.61,63,null,S ,2021-02-13
PROD-0104,Óculos de Sol,vest,128.00,Fashion Import Ltda,1.21,180,null,0,2021-09-06
PROD-0105,Regata Masculina,Vestuario,-100,Moda Brasil Atacado,1.8,13,null,1,2020-07-20
PROD-0106,Regata Feminina,Vestuario,47.00,Moda Brasil Atacado,0.79,453,null,Nao,2024-12-12
PROD-0107,Calça Moletom,Vestuario,116.00,Moda Brasil Atacado,0.23,68,null,N,2022-09-08
PROD-0108,Camisa Social Masculina,Vestuario,298.00,TextilBrasil Distribuidora,1.52,231,null,sim,2022-09-29
PROD-0109,Blusa de Seda Feminina,Vestuario,267.00,Moda Brasil Atacado,1.74,481,null,S,2024-11-24
PROD-0110,Top Esportivo,Vestuario,116.00,Moda Brasil Atacado,1.85,441,null, N,2020-06-19
PROD-0111,Camiseta Dry Fit,Vestuario,"90,00",TextilBrasil Distribuidora,0.91,319,null,SIM,2025-12-13
PROD-0112,Conjunto Esportivo,Vestuario,null,Fashion Import Ltda,0.46,182,null,S ,2022-05-29
PROD-0113,Meia-calça Feminina,Vestuario,27.00,Fashion Import Ltda,0.51,133,null,N,2022-03-18
PROD-0114,Roupa de Banho Masculina,Vestuario,63.00,Confecções do Sul,0.22,266,null,Sim,2021-09-03
PROD-0115,Biquíni,Vestuario,197.00,Confecções do Sul,0.41,90,null,SIM,2018-03-23
PROD-0116,Bermuda de Ciclismo,Vestuario,184.00,Moda Brasil Atacado,0.96,20,null,Sim,2018-09-28
PROD-0117,Camiseta Ciclismo,VEST,187.00,Confecções do Sul,0.19,111,null,sim,2020-04-23
PROD-0118,Kit Pijama Casal,Vestuarios,302.00,Confecções do Sul,null,111,null,0,2026-03-13
PROD-0119,Roupão de Banho,null,193.00,Confecções do Sul,1.07,156,null,Nao,2019-03-15
PROD-0120,Camisola Feminina,Vestuario,115.00,Confecções do Sul,1.31,476,null,0,2018-08-21
PROD-0121,Suéter Masculino,vestuario,222.00,Moda Brasil Atacado,1.48,232,null,Sim,2018-12-12
PROD-0122,Blusa de Tricô,Vestuario,157.00,Moda Brasil Atacado,1.48,45,null,sim,2019-12-06
PROD-0123,Colete Masculino,Vestuario,117.00,Moda Brasil Atacado,1.01,171,null,S,2020-11-01
PROD-0124,Gravata,Vestuario,58.00,TextilBrasil Distribuidora,1.35,65,null,1,2018-06-19
PROD-0125,Suspensório,Vestuario,66.00,TextilBrasil Distribuidora,1.36,28,null,S ,2018-07-15
PROD-0126,Conjunto de Panelas 5 Peças,null,203.00,HomeBrasil Atacado,13.83,305,null,SIM,2022-04-22
PROD-0127,Conjunto de Panelas 3 Peças,Casa,400.00,Decor Import,5.81,446,null,1,2024-09-21
PROD-0128,Jogo de Lençol Casal,Casa,266.00,Utilidades do Lar Ltda,2.88,50,null,S ,2020-01-10
PROD-0129,Jogo de Lençol Solteiro,Cas4,102.00,Casa & Cia Distribuidora,2.55,293,null,sim,2021-02-09
PROD-0130,Edredom Casal,Casa,374.00,Casa & Cia Distribuidora,13.89,75,null,S,2018-11-30
PROD-0131,Edredom Solteiro,Casa,111.00,Utilidades do Lar Ltda,13.9,218,null,sim,2021-03-23
PROD-0132,Travesseiro Viscoelástico,Casa,174.00,Decor Import,5.81,19,null,sim,2024-01-03
PROD-0133,Travesseiro de Pluma,Casa,198.00,Decor Import,11.71,0,null, N,2022-08-10
PROD-0134,Cobertor Casal,Casa,0,Decor Import,14.01,null,null,SIM,2023-06-26
PROD-0135,Toalha de Banho,Casa,37.00,Casa & Cia Distribuidora,8.61,197,null,sim,2025-09-03
PROD-0136,Jogo de Toalhas 4 Peças,Casa,258.00,Decor Import,12.35,204,null, N,2020-10-31
PROD-0137,Tapete Sala 2x3m,Casa,267.00,Casa & Cia Distribuidora,1.64,null,null,SIM,2025-10-01
PROD-0138,Tapete Banheiro,Casa,43.00,Casa & Cia Distribuidora,13.12,null,null, N,2021-09-02
PROD-0139,Almofada Decorativa,Casa,114.00,Utilidades do Lar Ltda,6.28,193,null,S ,2018-02-06
PROD-0140,Kit de Almofadas 4 Peças,Casa, 183.00,Casa & Cia Distribuidora,9.95,251,null,S ,2018-06-21
PROD-0141,Luminária de Mesa,Casa,188.00,Decor Import,7.2,96,null,nao,2023-10-24
PROD-0142,Luminária de Piso,Casa,468.00,Casa & Cia Distribuidora,0.6,14,null,NAO,2022-03-28
PROD-0143,Porta Retratos,Casa,null,HomeBrasil Atacado,4.73,157,null,NAO,2021-07-24
PROD-0144,Vaso Decorativo,cas@,155.00,Decor Import,5.22,323,null,1,2023-12-17
PROD-0145,Organizador de Gaveta,CASA,91.00,Utilidades do Lar Ltda,8.16,69,null,NAO,2025-07-19
PROD-0146,Cabide de Parede,Casa,64.00,Decor Import,8.68,48,null,nao,2025-05-03
PROD-0147,Cortina Blackout 2 Peças,Casa,178.00,Decor Import,10.92,null,null,1,2019-01-30
PROD-0148,Persiana Horizontal,Casa,181.00,Decor Import,12.85,36,null,1,2019-02-01
PROD-0149,Jogo de Banheiro 3 Peças,casa,94.00,Casa & Cia Distribuidora,10.13,327,null,S,2021-01-08
PROD-0150,Espelho de Parede,Casa,168.00,Casa & Cia Distribuidora,3.15,91,null,N,2022-09-03
PROD-0151,Porta Temperos,Casa,79.00,Utilidades do Lar Ltda,1.62,84,null,SIM,2020-05-27
PROD-0152,Tábua de Corte Bambu,null,31.00,Casa & Cia Distribuidora,1.53,329,null,nao,2024-10-14
PROD-0153,Conjunto de Potes Herméticos,Casa,90.00,HomeBrasil Atacado,12.35,107,null,NAO,2020-03-23
PROD-0154,Chaleira Elétrica,Casa,"R$ 206,00",HomeBrasil Atacado,7.79,0,null, N,2025-10-28
PROD-0155,Fritadeira Air Fryer 4L,Casa,258.00,Casa & Cia Distribuidora,2.43,310,null,1,2025-02-07
PROD-0156,Liquidificador 700W,cas@,161.00,Utilidades do Lar Ltda,4.61,107,null,N,2022-04-03
PROD-0157,Batedeira Planetária,Casa,569.00,Utilidades do Lar Ltda,13.03,32,null,0,2021-03-05
PROD-0158,Panela de Pressão Elétrica,cas,null,Casa & Cia Distribuidora,12.31,125,null,N,2024-06-24
PROD-0159,Micro-ondas 20L,null,494.00,HomeBrasil Atacado,1.07,448,null,S,2023-07-02
PROD-0160,Torradeira 2 Fatias,Casa,129.00,Casa & Cia Distribuidora,13.88,341,null,Sim,2019-07-13
PROD-0161,Cafeteira Expresso,Casa,254.00,Decor Import,5.26,498,null,1,2018-07-11
PROD-0162,Ferro de Passar a Vapor,Cas4,-100,Utilidades do Lar Ltda,null,426,null,sim,2025-08-25
PROD-0163,Aspirador de Pó Vertical,Casa,354.00,Decor Import,6.68,276,null,Nao,2022-09-25
PROD-0164,Ventilador de Mesa,Casa,149.00,HomeBrasil Atacado,7.81,152,null,Sim,2019-12-18
PROD-0165,Purificador de Ar,cas,485.00,Casa & Cia Distribuidora,9.38,329,null,SIM,2020-08-19
PROD-0166,Umidificador de Ar,Casa,0,Decor Import,5.56,33,null,sim,2019-12-12
PROD-0167,Desumidificador,Casa,0,Decor Import,3.65,365,null,S ,2023-02-16
PROD-0168,Lixeira com Pedal,Casa,123.00,Utilidades do Lar Ltda,11.88,0,null,Sim,2018-03-13
PROD-0169,Escorredor de Louças,Casa,87.00,HomeBrasil Atacado,4.51,409,null,SIM,2022-04-08
PROD-0170,Fruteira 3 Andares,Casa,69.00,Utilidades do Lar Ltda,8.03,168,null,S ,2019-03-22
PROD-0171,Kit Suporte Banheiro,Casa,92.00,Utilidades do Lar Ltda,13.62,18,null,SIM,2018-06-11
PROD-0172,Cesto de Roupa Suja,CASA,null,Utilidades do Lar Ltda,5.44,85,null,sim,2020-12-25
PROD-0173,Cabideiro de Chão,Casa,133.00,Utilidades do Lar Ltda,6.28,142,null,S,2024-07-23
PROD-0174,Espremedor de Frutas,cas@,162.00,Utilidades do Lar Ltda,8.89,69,null,SIM,2023-02-01
PROD-0175,Multiprocessador,null,"183,00",Utilidades do Lar Ltda,10.83,169,null,Sim,2026-01-26
PROD-0176,Vela Perfumada,Casa,68.00,Casa & Cia Distribuidora,0.53,443,null,Nao,2018-04-27
PROD-0177,Conjunto de Toalhas 4 Peças,Casa,205.00,HomeBrasil Atacado,7.36,0,null,Nao,2024-06-23
PROD-0178,Kit Organização Cozinha,Casa,181.00,Casa & Cia Distribuidora,12.53,0,null,SIM,2020-02-03
PROD-0179,Suporte para Livros,Casa,62.00,Decor Import,5.39,56,null, N,2023-11-18
PROD-0180,Relógio de Parede,Casa,99.00,Casa & Cia Distribuidora,4.46,null,null,sim,2025-08-20
PROD-0181,Porta Chaves Parede,Casa,48.00,HomeBrasil Atacado,12.87,329,null,S,2020-07-25
PROD-0182,Dispenser Sabonete Líquido,Casa,84.00,Casa & Cia Distribuidora,8,486,null,1,2019-02-18
PROD-0183,Saboneteira,cas@,21.00,Decor Import,0.53,219,null,S,2021-05-31
PROD-0184,Porta Papel Higiênico,Casa,35.00,HomeBrasil Atacado,11.02,175,null,SIM,2025-12-04
PROD-0185,Escova Sanitária,Casa,38.00,Casa & Cia Distribuidora,5.99,null,null,sim,2022-09-14
PROD-0186,Suporte para Secador,Casa,null,Utilidades do Lar Ltda,4.94,74,null,1,2024-05-20
PROD-0187,Espelho de Banheiro,Casa,95.00,Decor Import,8.21,17,null,N,2026-03-18
PROD-0188,Bicicleta Aro 29 Mountain Bike,Esportes, 813.00,Fitness Distribuidora,5.86,87,null,nao,2018-11-02
PROD-0189,Bicicleta Aro 26,Esportes,-100,Esporte Total Ltda,1.28,null,null,S ,2020-01-16
PROD-0190,Bicicleta Speed Aro 700,Esportes,735.00,Esporte Total Ltda,4.46,221,null,1,2025-09-21
PROD-0191,Halteres Par 10kg,null,239.00,SportsBrasil Atacado,8.21,295,null,1,2021-11-21
PROD-0192,Halteres Par 5kg,Esportes,51.00,Atlética Import Ltda,12.46,268,null,S ,2021-08-11
PROD-0193,Halteres Par 20kg,null, 264.00,SportsBrasil Atacado,1.43,451,null,Sim,2025-06-04
PROD-0194,Bola de Futebol Profissional,Esportes,129.00,SportsBrasil Atacado,7.81,138,null,sim,2018-09-10
PROD-0195,Bola de Basquete,Esportes,148.00,SportsBrasil Atacado,13.31,429,null,S,2021-06-15
PROD-0196,Bola de Vôlei,Esportes,-100,Atlética Import Ltda,3.78,65,null,1,2024-07-02
PROD-0197,Bola de Tênis Kit 3,Esportes,"R$ 36,00",Atlética Import Ltda,12.44,88,null,0,2025-04-17
PROD-0198,Raquete de Tênis,Esportes,258.00,Fitness Distribuidora,13.65,225,null,S ,2025-05-06
PROD-0199,Raquete de Beach Tennis,ESPORT,391.00,Atlética Import Ltda,7.11,321,null, N,2021-06-10
PROD-0200,Raquete de Badminton Kit 2,Esportes,117.00,SportsBrasil Atacado,4.12,1,null,Sim,2021-07-13
PROD-0201,Skate Completo,Esportes,440.00,Esporte Total Ltda,5.69,140,null,sim,2022-07-28
PROD-0202,Patins Quad,Esportes,346.00,SportsBrasil Atacado,14.38,52,null,sim,2019-06-19
PROD-0203,Patins Inline,null,302.00,Fitness Distribuidora,3.86,null,null,Nao,2018-03-24
PROD-0204,Barraca de Camping 4 Pessoas,Esportes,439.00,SportsBrasil Atacado,14.76,134,null,SIM,2020-04-17
PROD-0205,Barraca de Camping 2 Pessoas,Esportes,-100,Esporte Total Ltda,13.03,420,null,Nao,2024-09-03
PROD-0206,Colchão Inflável,Esporte,170.00,SportsBrasil Atacado,11.5,255,null,SIM,2018-12-22
PROD-0207,Mochila de Trilha 40L,Esportes,563.00,SportsBrasil Atacado,4.11,27,null,sim,2023-03-04
PROD-0208,Mochila de Trilha 20L,esport,231.00,SportsBrasil Atacado,4.92,197,null,nao,2023-08-19
PROD-0209,Garrafa Térmica 1L,Esportes,94.00,SportsBrasil Atacado,10.43,12,null,SIM,2019-07-03
PROD-0210,Cantil Esportivo 750ml,Esportes,57.00,Atlética Import Ltda,null,159,null, N,2022-08-10
PROD-0211,Luvas de Boxe,Esportes,"R$ 169,00",SportsBrasil Atacado,0.83,329,null,sim,2021-12-16
PROD-0212,Saco de Pancadas,Esportes,374.00,Esporte Total Ltda,13.63,340,null,NAO,2022-08-11
PROD-0213,Tapete de Yoga,Esportes,141.00,Esporte Total Ltda,4.64,187,null,S,2023-01-19
PROD-0214,Bloco de Yoga,null,87.00,Atlética Import Ltda,8.53,151,null,Nao,2020-04-12
PROD-0215,Corda de Pular,Esportes,50.00,Esporte Total Ltda,9.69,55,null,S ,2019-04-23
PROD-0216,Capacete Ciclismo,Esportes,"R$ 140,00",SportsBrasil Atacado,0.46,409,null,SIM,2023-03-23
PROD-0217,Óculos de Natação,Esportes,141.00,SportsBrasil Atacado,3.17,72,null,1,2018-09-03
PROD-0218,Kettlebell 12kg,ESPORTES,"165,00",SportsBrasil Atacado,8.14,0,null,sim,2018-07-21
PROD-0219,Kettlebell 8kg,Esportes,209.00,Atlética Import Ltda,7.87,337,null,SIM,2023-05-06
PROD-0220,Barra de Musculação,Esportes,552.00,SportsBrasil Atacado,3.14,1,null,S ,2024-05-06
PROD-0221,Anilha 10kg Par,ESPORTES,193.00,Atlética Import Ltda,13.99,293,null,S,2024-11-02
PROD-0222,Colchonete Ginástica,Esportes,null,SportsBrasil Atacado,12.16,105,null,Nao,2018-02-02
PROD-0223,Elástico de Resistência Kit,Esportes,66.00,Fitness Distribuidora,3.97,351,null,Sim,2021-04-01
PROD-0224,Suporte para Bicicleta,Esportes,"R$ 100,00",Atlética Import Ltda,8.93,106,null,Sim,2022-06-19
PROD-0225,Elíptico Doméstico,Esportes,null,SportsBrasil Atacado,2.55,167,null,nao,2018-10-11
PROD-0226,Esteira Ergométrica,Esportes,0,Fitness Distribuidora,8.4,323,null,sim,2018-08-08
PROD-0227,Bicicleta Ergométrica,Esportes,842.00,SportsBrasil Atacado,13.31,425,null,S ,2021-04-09
PROD-0228,Luvas de Ciclismo,Esportes,66.00,Esporte Total Ltda,6.96,111,null,1,2020-09-01
PROD-0229,Joelheira Esportiva Par,Esportes, 70.00,Fitness Distribuidora,null,488,null,Sim,2020-01-10
PROD-0230,Cotoveleira Esportiva Par,Esportes,111.00,Fitness Distribuidora,14.5,75,null,Sim,2019-09-27
PROD-0231,Munhequeira Kit 2,esportes,53.00,Atlética Import Ltda,5.25,107,null,1,2020-01-26
PROD-0232,Meias de Compressão Par,Esportes,148.00,Atlética Import Ltda,4.62,496,null,S,2025-03-13
PROD-0233,Suporte Lombar Esportivo,Esportes,116.00,Esporte Total Ltda,3.5,375,null,Sim,2019-01-08
PROD-0234,Óculos de Ciclismo,Esportes, 187.00,Atlética Import Ltda,5.84,280,null,SIM,2020-05-07
PROD-0235,Camiseta Esportiva Masculina,esp,62.00,Esporte Total Ltda,7.99,492,null,S ,2020-05-16
PROD-0236,Camiseta Esportiva Feminina,3sportes,56.00,Atlética Import Ltda,4.34,24,null,Sim,2025-08-23
PROD-0237,Bota para Caminhada,Esportes,333.00,Fitness Distribuidora,0.49,300,null,Sim,2023-01-03
PROD-0238,Tênis de Natação,Esportes,83.00,Esporte Total Ltda,11.99,397,null,S ,2021-07-25
PROD-0239,Regata Esportiva Masculina,Esportes,43.00,Esporte Total Ltda,12.21,441,null,S ,2026-02-24
PROD-0240,Bermuda de Natação,Esportes,"130,00",SportsBrasil Atacado,null,173,null,SIM,2019-03-08
PROD-0241,Maiô Esportivo,Esportes,null,Atlética Import Ltda,6.3,146,null,S,2018-02-22
PROD-0242,Luvas de Musculação,Esportes,160.00,SportsBrasil Atacado,13.03,234,null,sim,2025-02-19
